Cust_ID	name	code	pop	Block	Ship_mode	Discount	Weight_gm	Cust_calls	Prior_purchases	Priority	Gender	Cust_rating	Cost	Timeliness
1	Afghanistan	AFG	182793	F	Road	5	6102	2	3	medium	F	2	145	1
2	Albania	ALB	282690	D	Ship	8	2182	3	5	low	M	3	241	1
3	Algeria	DZA	266173	F	Road	7	4572	4	2	low	F	4	183	1
4	Andorra	AND	44177	F	Ship	47	3606	4	2	medium	F	3	233	1
5	Angola	AGO	99761	B	Ship	6	5618	3	3	medium	F	5	206	0
6	Anguilla	AIA	3476	A	Road	2	5986	5	3	medium	F	3	168	1
7	Antarctica	ATA	0	B	Ship	9	5804	4	3	medium	F	1	194	0
8	Antigua and Barbuda	ATG	8665	B	Ship	30	1805	4	3	low	F	2	138	1
9	Argentina	ARG	9394326	A	Ship	10	5759	5	8	high	F	5	264	1
10	Armenia	ARM	423417	F	Ship	5	5395	5	3	low	M	3	173	0
11	Aruba	ABW	41000	B	Ship	8	1409	5	5	low	F	3	257	0
12	Australia	AUS	8334802	C	Ship	5	4504	3	2	medium	F	5	204	1
13	Austria	AUT	4475146	A	Flight	2	5607	4	2	low	M	3	170	0
14	Azerbaijan	AZE	793388	A	Road	7	5359	5	4	low	M	4	171	1
15	Bahamas	BHS	36114	D	Road	46	2844	3	3	low	F	4	244	1
16	Bahrain	BHR	633348	C	Ship	61	1609	4	3	medium	F	4	173	1
17	Bangladesh	BGD	1982972	B	Ship	3	4957	3	3	medium	M	1	230	0
18	Barbados	BRB	85121	F	Flight	2	4615	5	4	high	M	1	233	1
19	Belarus	BLR	982867	B	Ship	8	4743	5	2	low	M	5	158	0
20	Belgium	BEL	4265296	D	Flight	48	3393	5	3	low	M	3	267	1
21	Belize	BLZ	64581	F	Flight	5	4585	5	2	high	M	5	180	1
22	Benin	BEN	27216	F	Ship	10	1668	4	5	medium	M	2	245	1
23	Bermuda	BMU	16162	B	Ship	4	5587	5	2	low	M	5	248	0
24	Bhutan	BTN	59824	B	Ship	5	1252	5	5	low	M	5	245	0
25	Bolivia	BOL	934235	A	Ship	27	1233	2	3	low	F	5	139	1
26	Bosnia and Herzegovina	BIH	379132	B	Ship	2	1411	5	4	low	M	5	276	1
27	Botswana	BWA	322769	A	Ship	9	1723	5	2	low	F	1	172	0
28	Brazil	BRA	32610830	A	Flight	58	2098	5	3	medium	M	1	274	1
29	British Virgin Islands	VGB	6941	C	Flight	2	5469	5	2	low	M	4	217	1
30	Brunei Darussalam	BRN	167669	C	Ship	63	1058	2	4	low	M	1	177	1
31	Bulgaria	BGR	1175082	D	Ship	5	5213	3	3	low	F	1	133	1
32	Burkina Faso	BFA	20853	B	Ship	52	3403	5	3	low	M	4	214	1
33	Myanmar	MMR	614000	C	Ship	5	1703	6	4	low	F	4	306	1
34	Burundi	BDI	42731	A	Flight	5	3861	3	3	medium	M	2	264	1
35	Cambodia	KHM	136308	A	Road	7	1754	7	4	medium	M	1	275	0
36	Cameroon	CMR	120068	F	Flight	2	4313	3	4	low	M	5	220	0
37	Canada	CAN	3952733	B	Ship	6	5006	2	3	low	F	3	176	0
38	Cayman Islands	CYM	27594	A	Ship	45	2732	4	2	low	F	3	233	1
39	Central African Republic	CAF	14649	B	Ship	5	4670	3	3	high	F	4	215	1
40	Chad	TCD	7426	B	Ship	5	1143	3	3	low	F	5	168	1
41	Chile	CHL	4035379	C	Ship	1	2049	5	3	medium	M	2	225	1
42	China	CHN	226176	F	Ship	4	5101	4	2	medium	F	4	240	0
43	Colombia	COL	6175181	C	Ship	7	5974	3	2	medium	M	4	238	0
44	Comoros	COM	8161	F	Ship	3	5571	6	4	medium	M	1	217	0
45	Congo	COG	24128	A	Ship	2	4492	5	3	low	M	4	145	1
46	Cook Islands	COK	5774	C	Ship	2	1452	6	5	low	F	3	301	1
47	Costa Rica	CRI	904934	F	Ship	7	5580	4	10	medium	M	1	249	1
48	Cote d'Ivoire	CIV	83729	C	Ship	1	1258	6	4	low	F	2	263	1
49	Croatia	HRV	1152335	C	Ship	10	4827	4	4	low	F	4	254	0
50	Cuba	CUB	1106203	A	Ship	7	1727	7	4	low	F	5	301	0
51	Cyprus	CYP	504717	B	Ship	4	4512	2	3	low	M	1	143	0
